Gene stable ID,Gene name,UniProtKB/Swiss-Prot ID
ENSG00000161513,FDXR,P22570
ENSG00000166840,GLYATL1,Q969I3
ENSG00000211690,TRGJ1,
ENSG00000106991,ENG,P17813
ENSG00000211691,TRGJP,
ENSG00000173960,UBXN2A,
ENSG00000211692,TRGJP1,
ENSG00000185905,C16orf54,Q6UWD8
ENSG00000121853,GHSR,Q92847
ENSG00000010803,SCMH1,Q96GD3
ENSG00000155893,ACPL2,Q8TE99
ENSG00000166664,CHRFAM7A,Q494W8
ENSG00000211693,TRGV11,
ENSG00000109670,FBXW7,Q969H0
ENSG00000147862,NFIB,O00712
ENSG00000211694,TRGV10,
ENSG00000261721,GRINA,
ENSG00000149761,NUDT22,
ENSG00000164241,C5orf63,
ENSG00000010017,RANBP9,Q96S59
ENSG00000211695,TRGV9,
ENSG00000170631,ZNF16,P17020
ENSG00000164241,C5orf63,A6NC05
ENSG00000069869,NEDD4,
ENSG00000174448,STARD6,
ENSG00000166664,CHRFAM7A,
ENSG00000211696,TRGV8,
ENSG00000129749,CHRNA10,Q9GZZ6
ENSG00000094841,UPRT,Q96BW1
ENSG00000146109,ABT1,Q9ULW3
ENSG00000261721,GRINA,Q7Z429
ENSG00000211697,TRGV5,
ENSG00000129749,CHRNA10,
ENSG00000138614,VWA9,Q96SY0
ENSG00000094841,UPRT,
ENSG00000010017,RANBP9,
ENSG00000176171,BNIP3,Q12983
ENSG00000211698,TRGV4,
ENSG00000205020,CCL4L1,Q8NHW4
ENSG00000176171,BNIP3,
ENSG00000174448,STARD6,P59095
ENSG00000174992,ZG16,O60844
ENSG00000211699,TRGV3,P03979
ENSG00000224130,AP001652.1,
ENSG00000069869,NEDD4,P46934
ENSG00000159873,CCDC117,Q8IWD4
ENSG00000233306,TRGV2,
ENSG00000170340,B3GNT2,Q9NY97
ENSG00000170631,ZNF16,
ENSG00000109670,FBXW7,
ENSG00000211701,TRGV1,
ENSG00000095787,WAC,Q9BTA9
ENSG00000159873,CCDC117,
ENSG00000100033,PRODH,
ENSG00000095787,WAC,
ENSG00000149761,NUDT22,Q9BRQ3
ENSG00000068971,PPP2R5B,
ENSG00000010803,SCMH1,
ENSG00000204220,PFDN6,O15212
ENSG00000269879,AL353583.1,
ENSG00000147862,NFIB,
ENSG00000189057,FAM111B,Q6SJ93
ENSG00000189057,FAM111B,
ENSG00000159658,EFCAB14,O75071
ENSG00000204220,PFDN6,
ENSG00000177675,CD163L1,Q9NR16
ENSG00000172315,TP53RK,Q96S44
ENSG00000166845,C18orf54,
ENSG00000066135,KDM4A,O75164
ENSG00000172315,TP53RK,
ENSG00000091831,ESR1,P03372
ENSG00000161996,WDR90,
ENSG00000105281,SLC1A5,Q15758
ENSG00000070785,EIF2B3,
ENSG00000164089,ETNPPL,Q8TBG4
ENSG00000121858,TNFSF10,P50591
ENSG00000206501,PPP1R11,
ENSG00000159658,EFCAB14,
ENSG00000105281,SLC1A5,
ENSG00000046651,OFD1,O75665
ENSG00000166845,C18orf54,Q8IYD9
ENSG00000100033,PRODH,O43272
ENSG00000121858,TNFSF10,
ENSG00000141086,CTRL,P40313
ENSG00000206501,PPP1R11,O60927
ENSG00000068971,PPP2R5B,Q15173
ENSG00000164089,ETNPPL,
ENSG00000205020,CCL4L1,
ENSG00000236759,EHMT2,
ENSG00000046651,OFD1,
ENSG00000161996,WDR90,Q96KV7
ENSG00000174744,BRMS1,
ENSG00000226264,HLA-DMB,
ENSG00000197496,SLC2A10,O95528
ENSG00000188385,JAKMIP3,Q5VZ66
ENSG00000141086,CTRL,
ENSG00000236759,EHMT2,Q96KQ7
ENSG00000156515,HK1,
ENSG00000186118,TEX38,
ENSG00000169499,PLEKHA2,
ENSG00000155744,FAM126B,Q8IXS8
ENSG00000118292,C1orf54,Q8WWF1
ENSG00000101213,PTK6,Q13882
ENSG00000178690,DYNAP,
ENSG00000174744,BRMS1,Q9HCU9
ENSG00000132952,USPL1,Q5W0Q7
ENSG00000182022,CHST15,Q7LFX5
ENSG00000186118,TEX38,Q6PEX7
ENSG00000178690,DYNAP,Q8N1N2
ENSG00000206500,RNF39,Q9H2S5
ENSG00000130193,THEM6,Q8WUY1
ENSG00000261884,CTC-479C5.12,
ENSG00000155744,FAM126B,
ENSG00000166801,FAM111A,Q96PZ2
ENSG00000163635,ATXN7,
ENSG00000204941,PSG5,Q15238
ENSG00000130193,THEM6,
ENSG00000177042,TMEM80,Q96HE8
ENSG00000133059,DSTYK,Q6XUX3
ENSG00000179593,ALOX15B,O15296
ENSG00000049768,FOXP3,Q9BZS1
ENSG00000206500,RNF39,
ENSG00000204941,PSG5,
ENSG00000179593,ALOX15B,
ENSG00000135960,EDAR,
ENSG00000124701,APOBEC2,Q9Y235
ENSG00000092820,EZR,P15311
ENSG00000177042,TMEM80,
ENSG00000090266,NDUFB2,
ENSG00000170324,FRMPD2,Q68DX3
ENSG00000041353,RAB27B,
ENSG00000118292,C1orf54,
ENSG00000166801,FAM111A,
ENSG00000135960,EDAR,Q9UNE0
ENSG00000131748,STARD3,Q14849
ENSG00000226264,HLA-DMB,P28068
ENSG00000149311,ATM,Q13315
ENSG00000090266,NDUFB2,O95178
ENSG00000133059,DSTYK,
ENSG00000109738,GLRB,P48167
ENSG00000133800,LYVE1,Q9Y5Y7
ENSG00000174684,B3GNT1,O43505
ENSG00000133800,LYVE1,
ENSG00000169862,CTNND2,Q9UQB3
ENSG00000092820,EZR,
ENSG00000109738,GLRB,
ENSG00000173567,GPR113,
ENSG00000114349,GNAT1,P11488
ENSG00000183574,RNF5,Q99942
ENSG00000110011,DNAJC4,Q9NNZ3
ENSG00000255468,RP11-867G23.8,
ENSG00000041353,RAB27B,O00194
ENSG00000175893,ZDHHC21,Q8IVQ6
ENSG00000163631,ALB,P02768
ENSG00000169499,PLEKHA2,Q9HB19
ENSG00000110011,DNAJC4,
ENSG00000132965,ALOX5AP,P20292
ENSG00000114349,GNAT1,
ENSG00000113594,LIFR,P42702
ENSG00000070785,EIF2B3,Q9NR50
ENSG00000049769,PPP1R3F,Q6ZSY5
ENSG00000165424,ZCCHC24,Q8N2G6
ENSG00000174132,FAM174A,Q8TBP5
ENSG00000077684,JADE1,Q6IE81
ENSG00000204060,FOXO6,
ENSG00000100219,XBP1,P17861
ENSG00000147869,CER1,O95813
ENSG00000176974,SHMT1,P34896
ENSG00000262275,SLC16A6,O15403
ENSG00000262275,SLC16A6,
ENSG00000100219,XBP1,
ENSG00000113594,LIFR,
ENSG00000176974,SHMT1,
ENSG00000106992,AK1,P00568
ENSG00000223887,PRR3,P79522
ENSG00000165424,ZCCHC24,
ENSG00000106992,AK1,
ENSG00000181827,RFX7,
ENSG00000152942,RAD17,O75943
ENSG00000144455,SUMF1,
ENSG00000149735,GPHA2,Q96T91
ENSG00000152942,RAD17,
ENSG00000205220,PSMB10,P40306
ENSG00000077684,JADE1,
ENSG00000149735,GPHA2,
ENSG00000049769,PPP1R3F,
ENSG00000169862,CTNND2,
ENSG00000205220,PSMB10,
ENSG00000163635,ATXN7,O15265
ENSG00000102802,MEDAG,Q5VYS4
ENSG00000102802,MEDAG,
ENSG00000144040,SFXN5,Q8TD22
ENSG00000133069,TMCC2,O75069
ENSG00000142973,CYP4B1,
ENSG00000173567,GPR113,Q8IZF5
ENSG00000110042,DTX4,Q9Y2E6
ENSG00000181827,RFX7,Q2KHR2
ENSG00000079616,KIF22,Q14807
ENSG00000144040,SFXN5,
ENSG00000130592,LSP1,P33241
ENSG00000127129,EDN2,P20800
ENSG00000133069,TMCC2,
ENSG00000144455,SUMF1,Q8NBK3
ENSG00000132155,RAF1,P04049
ENSG00000001167,NFYA,P23511
ENSG00000144959,NCEH1,Q6PIU2
ENSG00000124766,SOX4,Q06945
ENSG00000168070,C11orf85,
ENSG00000189120,SP6,Q3SY56
ENSG00000152990,GPR125,
ENSG00000269393,AC007965.1,
ENSG00000144959,NCEH1,
ENSG00000078053,AMPH,P49418
ENSG00000175664,TEX26,Q8N6G2
ENSG00000197415,VEPH1,Q14D04
ENSG00000132155,RAF1,
ENSG00000130592,LSP1,
ENSG00000203711,C6orf99,Q4VX62
ENSG00000175664,TEX26,
ENSG00000244623,OR2AE1,Q8NHA4
ENSG00000174669,SLC29A2,
ENSG00000113100,CDH9,Q9ULB4
ENSG00000137397,TRIM31,Q9BZY9
ENSG00000079616,KIF22,
ENSG00000140057,AK7,Q96M32
ENSG00000078053,AMPH,
ENSG00000046653,GPM6B,Q13491
ENSG00000203711,C6orf99,
ENSG00000196091,MYBPC1,Q00872
ENSG00000140057,AK7,
ENSG00000131748,STARD3,
ENSG00000113100,CDH9,
ENSG00000151575,TEX9,
ENSG00000213398,LCAT,P04180
ENSG00000213398,LCAT,
ENSG00000197415,VEPH1,
ENSG00000168070,C11orf85,Q3KP22
ENSG00000046653,GPM6B,
ENSG00000120253,NUP43,Q8NFH3
ENSG00000137397,TRIM31,
ENSG00000183579,ZNRF3,Q9ULT6
ENSG00000196693,ZNF33B,Q06732
ENSG00000206289,RXRB,P28702
ENSG00000233801,NELFE,P18615
ENSG00000120253,NUP43,
ENSG00000175928,LRRN1,Q6UXK5
ENSG00000174669,SLC29A2,Q14542
ENSG00000235705,AL133481.1,
ENSG00000150076,C10ORF68,Q9H943
ENSG00000144369,FAM171B,Q6P995
ENSG00000118495,PLAGL1,Q9UM63
ENSG00000167182,SP2,Q02086
ENSG00000144331,ZNF385B,Q569K4
ENSG00000253626,EIF5AL1,Q6IS14
ENSG00000272786,AL662890.8,
ENSG00000159208,C1orf51,
ENSG00000151575,TEX9,Q8N6V9
ENSG00000176571,CNBD1,Q8NA66
ENSG00000150076,C10ORF68,
ENSG00000089057,SLC23A2,Q9UGH3
ENSG00000100249,C22orf31,O95567
ENSG00000177683,THAP5,Q7Z6K1
ENSG00000163636,PSMD6,Q15008
ENSG00000089057,SLC23A2,
ENSG00000172524,TRIM40,Q6P9F5
ENSG00000206289,RXRB,
ENSG00000163545,NUAK2,Q9H093
ENSG00000145794,MEGF10,Q96KG7
ENSG00000176571,CNBD1,
ENSG00000163636,PSMD6,
ENSG00000127952,STYXL1,Q9Y6J8
ENSG00000169641,LUZP1,Q86V48
ENSG00000144331,ZNF385B,
ENSG00000185271,KLHL33,A6NCF5
ENSG00000187094,CCK,P06307
ENSG00000169641,LUZP1,
ENSG00000177683,THAP5,
ENSG00000159208,C1orf51,Q8N365
ENSG00000125508,SRMS,Q9H3Y6
ENSG00000173511,VEGFB,P49765
ENSG00000127124,HIVEP3,Q5T1R4
ENSG00000115966,ATF2,P15336
ENSG00000179546,HTR1D,P28221
ENSG00000116035,VAX2,Q9UIW0
ENSG00000177156,TALDO1,P37837
ENSG00000125531,C20orf195,Q9BVV2
ENSG00000233801,NELFE,
ENSG00000223802,CERS1,P27544
ENSG00000173511,VEGFB,
ENSG00000127952,STYXL1,
ENSG00000168062,BATF2,Q8N1L9
ENSG00000177156,TALDO1,
ENSG00000046647,GEMIN8,Q9NWZ8
ENSG00000142973,CYP4B1,P13584
ENSG00000170364,SETMAR,Q53H47
ENSG00000120694,HSPH1,
ENSG00000141447,OSBPL1A,Q9BXW6
ENSG00000183762,KREMEN1,Q96MU8
ENSG00000130363,RSPH3,Q86UC2
ENSG00000038945,MSR1,P21757
ENSG00000185303,SFTPA2,Q8IWL1
ENSG00000046647,GEMIN8,
ENSG00000170364,SETMAR,
ENSG00000118495,PLAGL1,
ENSG00000168062,BATF2,
ENSG00000107863,ARHGAP21,Q5T5U3
ENSG00000174576,NPAS4,Q8IUM7
ENSG00000185303,SFTPA2,
ENSG00000223802,CERS1,
ENSG00000165733,BMS1,Q14692
ENSG00000064655,EYA2,O00167
ENSG00000170324,FRMPD2,
ENSG00000156515,HK1,P19367
ENSG00000205639,MFSD2B,A6NFX1
ENSG00000237441,RGL2,O15211
ENSG00000038945,MSR1,
ENSG00000101892,ATP1B4,Q9UN42
ENSG00000115966,ATF2,
ENSG00000183762,KREMEN1,
ENSG00000174576,NPAS4,
ENSG00000181449,SOX2,P48431
ENSG00000114054,PCCB,P05166
ENSG00000157093,LYZL4,Q96KX0
ENSG00000152990,GPR125,Q8IWK6
ENSG00000230985,VARSL,
ENSG00000055163,CYFIP2,
ENSG00000110713,NUP98,
ENSG00000173868,PHOSPHO1,Q8TCT1
ENSG00000164946,FREM1,Q5H8C1
ENSG00000179528,LBX2,Q6XYB7
ENSG00000114054,PCCB,
ENSG00000138587,MNS1,Q8NEH6
ENSG00000205639,MFSD2B,
ENSG00000064655,EYA2,
ENSG00000101892,ATP1B4,
ENSG00000114204,SERPINI2,O75830
ENSG00000179528,LBX2,
ENSG00000136682,CBWD2,Q8IUF1
ENSG00000237441,RGL2,
ENSG00000173868,PHOSPHO1,
ENSG00000204978,C19orf69,A6NGS2
ENSG00000162873,KLHDC8A,Q8IYD2
ENSG00000141447,OSBPL1A,
ENSG00000176566,DCAF4L2,Q8NA75
ENSG00000066044,ELAVL1,Q15717
ENSG00000187145,MRPS21,P82921
ENSG00000182307,C8orf33,Q9H7E9
ENSG00000066044,ELAVL1,
ENSG00000107863,ARHGAP21,
ENSG00000268730,AC022819.2,
ENSG00000114204,SERPINI2,
ENSG00000162873,KLHDC8A,
ENSG00000111481,COPZ1,
ENSG00000146833,TRIM4,
ENSG00000136682,CBWD2,
ENSG00000120318,ARAP3,
ENSG00000092094,OSGEP,
ENSG00000196704,AMZ2,Q86W34
ENSG00000103978,TMEM87A,Q8NBN3
ENSG00000137394,TRIM10,Q9UDY6
ENSG00000257652,AC019173.1,
ENSG00000160408,ST6GALNAC6,Q969X2
ENSG00000196704,AMZ2,
ENSG00000146833,TRIM4,Q9C037
ENSG00000213465,ARL2,P36404
ENSG00000007129,CEACAM21,
ENSG00000103978,TMEM87A,
ENSG00000120318,ARAP3,Q8WWN8
ENSG00000161526,SAP30BP,Q9UHR5
ENSG00000164867,NOS3,P29474
ENSG00000234495,TRIM27,P14373
ENSG00000173486,FKBP2,P26885
ENSG00000112414,GPR126,Q86SQ4
ENSG00000007129,CEACAM21,Q3KPI0
ENSG00000164867,NOS3,
ENSG00000089063,TMEM230,Q96A57
ENSG00000089022,MAPKAPK5,Q8IW41
ENSG00000215274,GAGE10,A6NGK3
ENSG00000234495,TRIM27,
ENSG00000137394,TRIM10,
ENSG00000173486,FKBP2,
ENSG00000161526,SAP30BP,
ENSG00000089022,MAPKAPK5,
ENSG00000224659,GAGE12J,A6NER3
ENSG00000131142,CCL25,O15444
ENSG00000138246,DNAJC13,O75165
ENSG00000205726,ITSN1,Q15811
ENSG00000205726,ITSN1,
ENSG00000237597,GAGE13,Q4V321
ENSG00000169629,RGPD8,O14715
ENSG00000113361,CDH6,
ENSG00000174547,MRPL11,Q9Y3B7
ENSG00000169629,RGPD8,
ENSG00000131142,CCL25,
ENSG00000205775,GAGE2E,Q4V326
ENSG00000258052,AC025263.3,
ENSG00000044012,GUCA2B,Q16661
ENSG00000240257,GAGE2D,Q9UEU5
ENSG00000112414,GPR126,
ENSG00000160408,ST6GALNAC6,
ENSG00000113361,CDH6,P55285
ENSG00000065154,OAT,P04181
ENSG00000174547,MRPL11,
ENSG00000186889,TMEM17,Q86X19
ENSG00000138246,DNAJC13,
ENSG00000260319,SPATC1,Q76KD6
ENSG00000164946,FREM1,
ENSG00000070413,DGCR2,
ENSG00000163026,C2orf44,Q9H6R7
ENSG00000186007,LEMD1,Q68G75
ENSG00000241465,GAGE12I,O76087
ENSG00000241465,GAGE12I,P0CL82
ENSG00000125503,PPP1R12C,Q9BZL4
ENSG00000140983,RHOT2,Q8IXI1
ENSG00000163026,C2orf44,
ENSG00000115289,PCGF1,Q9BSM1
ENSG00000092094,OSGEP,Q9NPF4
ENSG00000101958,GLRA2,P23416
ENSG00000125503,PPP1R12C,
ENSG00000089063,TMEM230,
ENSG00000260189,EXOSC4,Q9NPD3
ENSG00000260189,EXOSC4,
ENSG00000236249,GAGE2C,Q13066
ENSG00000186399,GOLGA8R,I6L899
ENSG00000225351,ZNF311,Q5JNZ3
ENSG00000231850,GAGE2B,Q13066
ENSG00000101958,GLRA2,
ENSG00000206288,SLC39A7,
ENSG00000156103,MMP16,P51512
ENSG00000111481,COPZ1,P61923
ENSG00000236737,GAGE12B,
ENSG00000197273,GUCA2A,Q02747
ENSG00000129595,EPB41L4A,Q9HCS5
ENSG00000177225,PDDC1,
ENSG00000226463,OR2W1,Q9Y3N9
ENSG00000180616,SSTR2,P30874
ENSG00000068305,MEF2A,
ENSG00000173457,PPP1R14B,
ENSG00000237671,GAGE12C,A1L429
ENSG00000164691,TAGAP,Q8N103
ENSG00000167107,ACSF2,
ENSG00000140983,RHOT2,
ENSG00000137384,TRIM15,Q9C019
ENSG00000233054,OR2B3,O76000
ENSG00000125944,HNRNPR,
ENSG00000126107,HECTD3,Q5T447
ENSG00000260226,GPAA1,
ENSG00000137384,TRIM15,
ENSG00000172554,SNTG2,
ENSG00000226271,OR2J3,O76001
ENSG00000173457,PPP1R14B,Q96C90
ENSG00000225550,OR2J2,O76002
ENSG00000206288,SLC39A7,Q92504
ENSG00000136213,CHST12,Q9NRB3
ENSG00000197629,MPEG1,Q2M385
ENSG00000078579,FGF20,Q9NP95
ENSG00000136213,CHST12,
ENSG00000236927,OR14J1,Q9UGF5
ENSG00000078579,FGF20,
ENSG00000176495,OR5AN1,Q8NGI8
ENSG00000113532,ST8SIA4,Q92187
ENSG00000105352,CEACAM4,O75871
ENSG00000172324,OR5A2,Q8NGI9
ENSG00000260226,GPAA1,O43292
ENSG00000227488,GAGE12D,A1L429
ENSG00000105352,CEACAM4,
ENSG00000172985,SH3RF3,
ENSG00000166268,MYRFL,Q96LU7
ENSG00000172320,OR5A1,Q8NGJ0
ENSG00000178115,GOLGA8Q,
ENSG00000156103,MMP16,
ENSG00000232289,OR11A1,Q9GZK7
ENSG00000166268,MYRFL,
ENSG00000173269,MMRN2,Q9H8L6
ENSG00000072952,MRVI1,Q9Y6F6
ENSG00000186998,EMID1,Q96A84
ENSG00000113532,ST8SIA4,
ENSG00000186998,EMID1,
ENSG00000172985,SH3RF3,Q8TEJ3
ENSG00000173269,MMRN2,
ENSG00000216649,GAGE12E,A1L429
ENSG00000166884,OR4D6,Q8NGJ1
ENSG00000070413,DGCR2,P98153
ENSG00000230505,OR10C1,Q96KK4
ENSG00000254466,OR4D10,Q8NGI6
ENSG00000115827,DCAF17,Q5H9S7
ENSG00000119782,FKBP1B,P68106
ENSG00000125944,HNRNPR,O43390
ENSG00000230505,OR10C1,
ENSG00000115827,DCAF17,
ENSG00000176200,OR4D11,Q8NGI4
ENSG00000273003,RP11-399J13.3,
ENSG00000198815,FOXJ3,
ENSG00000174516,PELI3,Q8N2H9
ENSG00000120694,HSPH1,Q92598
ENSG00000166510,CCDC68,Q9H2F9
ENSG00000181355,OFCC1,
ENSG00000172742,OR4D9,Q8NGE8
ENSG00000166510,CCDC68,
ENSG00000114353,GNAI2,
ENSG00000181544,FANCB,Q8NB91
ENSG00000181355,OFCC1,Q8IZS5
ENSG00000172554,SNTG2,Q9NY99
ENSG00000116039,ATP6V1B1,P15313
ENSG00000119782,FKBP1B,
ENSG00000229125,OR2H1,Q9GZK4
ENSG00000187048,CYP4A11,Q02928
ENSG00000115234,SNX17,Q15036
ENSG00000152611,CAPSL,Q8WWF8
ENSG00000181544,FANCB,
ENSG00000102383,ZDHHC15,Q96MV8
ENSG00000261794,GOLGA8H,P0CJ92
ENSG00000116039,ATP6V1B1,
ENSG00000174516,PELI3,
ENSG00000206320,AGER,Q15109
ENSG00000181315,ZNF322,Q6U7Q0
ENSG00000136840,ST6GALNAC4,Q9H4F1
ENSG00000068305,MEF2A,Q02078
ENSG00000139531,SUOX,P51687
ENSG00000152611,CAPSL,
ENSG00000204217,BMPR2,Q13873
ENSG00000181315,ZNF322,
ENSG00000133704,IPO8,O15397
ENSG00000182389,CACNB4,O00305
ENSG00000177225,PDDC1,Q8NB37
ENSG00000058063,ATP11B,Q9Y2G3
ENSG00000187048,CYP4A11,
ENSG00000204217,BMPR2,
ENSG00000182389,CACNB4,
ENSG00000007306,CEACAM7,Q14002
ENSG00000072952,MRVI1,
ENSG00000108439,PNPO,
ENSG00000232169,ABCF1,Q8NE71
ENSG00000109511,ANXA10,Q9UJ72
ENSG00000133704,IPO8,
ENSG00000169976,SF3B5,Q9BWJ5
ENSG00000058063,ATP11B,
ENSG00000234954,MAS1L,P35410
ENSG00000130589,HELZ2,Q9BYK8
ENSG00000106003,LFNG,Q8NES3
ENSG00000232169,ABCF1,
ENSG00000181904,C5orf24,Q7Z6I8
ENSG00000138135,CH25H,O95992
ENSG00000136840,ST6GALNAC4,
ENSG00000102383,ZDHHC15,
ENSG00000100263,RHBDD3,Q9Y3P4
ENSG00000139531,SUOX,
ENSG00000167107,ACSF2,Q96CM8
ENSG00000100263,RHBDD3,
ENSG00000198815,FOXJ3,Q9UPW0
ENSG00000176402,GJC3,Q8NFK1
ENSG00000115234,SNX17,
ENSG00000155970,MICU3,Q86XE3
ENSG00000155970,MICU3,
ENSG00000187951,ARHGAP11B,Q3KRB8
ENSG00000114812,VIPR1,P32241
ENSG00000196924,FLNA,
ENSG00000074621,SLC24A1,
ENSG00000186710,CCDC42B,A6NFT4
ENSG00000181904,C5orf24,
ENSG00000166685,COG1,Q8WTW3
ENSG00000166685,COG1,
ENSG00000108439,PNPO,Q9NVS9
ENSG00000114812,VIPR1,
ENSG00000186710,CCDC42B,
ENSG00000178075,GRAMD1C,Q8IYS0
ENSG00000236362,GAGE12F,O76087
ENSG00000236362,GAGE12F,P0CL80
ENSG00000112474,HSD17B8,Q92506
ENSG00000074621,SLC24A1,O60721
ENSG00000135604,STX11,O75558
ENSG00000110048,OSBP,P22059
ENSG00000204421,LY6G6C,
ENSG00000215269,GAGE12G,O76087
ENSG00000215269,GAGE12G,P0CL81
ENSG00000173930,SLCO4C1,Q6ZQN7
ENSG00000110048,OSBP,
ENSG00000137871,ZNF280D,Q6N043
ENSG00000224902,GAGE12H,A6NDE8
ENSG00000169495,HTRA4,P83105
ENSG00000178075,GRAMD1C,
ENSG00000110025,SNX15,Q9NRS6
ENSG00000189064,GAGE2A,Q6NT46
ENSG00000204421,LY6G6C,O95867
ENSG00000125945,ZNF436,Q9C0F3
ENSG00000110025,SNX15,
ENSG00000114353,GNAI2,P04899
ENSG00000115128,SF3B14,Q9Y3B4
ENSG00000131730,CKMT2,P17540
ENSG00000167103,PIP5KL1,Q5T9C9
ENSG00000205777,GAGE1,Q13065
ENSG00000187676,B3GALTL,Q6Y288
ENSG00000241713,LY6G5B,
ENSG00000137207,YIPF3,Q9GZM5
ENSG00000205777,GAGE1,Q13068
ENSG00000131730,CKMT2,
ENSG00000166881,TMEM194A,O14524
ENSG00000135124,P2RX4,Q99571
ENSG00000105388,CEACAM5,P06731
ENSG00000249087,C1orf213,
ENSG00000103269,RHBDL1,O75783
ENSG00000103269,RHBDL1,
ENSG00000241713,LY6G5B,Q8NDX9
ENSG00000135124,P2RX4,
ENSG00000186281,GPAT2,Q6NUI2
ENSG00000130150,MOSPD2,Q8NHP6
ENSG00000160396,HIPK4,Q8NE63
ENSG00000130150,MOSPD2,
ENSG00000137313,TRIM26,Q12899
ENSG00000249087,C1orf213,Q8NC38
ENSG00000174776,WDR49,Q8IV35
ENSG00000005893,LAMP2,P13473
ENSG00000169490,TM2D2,Q9BX73
ENSG00000151640,DPYSL4,O14531
ENSG00000105388,CEACAM5,
ENSG00000268424,AC008948.1,
ENSG00000198690,FAN1,Q9Y2M0
ENSG00000151466,SCLT1,Q96NL6
ENSG00000206320,AGER,
ENSG00000042753,AP2S1,
ENSG00000186281,GPAT2,
ENSG00000166881,TMEM194A,
ENSG00000163217,BMP10,O95393
ENSG00000151640,DPYSL4,
ENSG00000174776,WDR49,
ENSG00000186377,CYP4X1,Q8N118
ENSG00000110713,NUP98,P52948
ENSG00000258085,UGT2B15,
ENSG00000101216,GMEB2,
ENSG00000005893,LAMP2,
ENSG00000231738,TSPAN19,
ENSG00000106009,BRAT1,Q6PJG6
ENSG00000184682,C11orf89,A8MZF0
ENSG00000122852,SFTPA1,Q8IWL2
ENSG00000137207,YIPF3,
ENSG00000042753,AP2S1,P53680
ENSG00000104219,ZDHHC2,Q9UIJ5
ENSG00000101216,GMEB2,Q9UKD1
ENSG00000177181,RIMKLA,
ENSG00000137313,TRIM26,
ENSG00000157764,BRAF,
ENSG00000151466,SCLT1,
ENSG00000104219,ZDHHC2,
ENSG00000146904,EPHA1,P21709
ENSG00000206287,RING1,Q06587
ENSG00000169490,TM2D2,
ENSG00000128590,DNAJB9,Q9UBS3
ENSG00000113621,TXNDC15,Q96J42
ENSG00000231738,TSPAN19,P0C672
ENSG00000113621,TXNDC15,
ENSG00000177181,RIMKLA,Q8IXN7
ENSG00000106009,BRAT1,
ENSG00000186160,CYP4Z1,Q86W10
ENSG00000105227,PRX,Q9BXM0
ENSG00000122852,SFTPA1,
ENSG00000231325,LY6G5C,Q5SRR4
ENSG00000168061,SAC3D1,A6NKF1
ENSG00000231325,LY6G5C,
ENSG00000068985,PAGE1,O75459
ENSG00000107829,FBXW4,P57775
ENSG00000157764,BRAF,P15056
ENSG00000149782,PLCB3,Q01970
ENSG00000168061,SAC3D1,
ENSG00000163012,ZSWIM2,Q8NEG5
ENSG00000258213,AL844527.1,
ENSG00000163012,ZSWIM2,
ENSG00000160007,ARHGAP35,Q9NRY4
ENSG00000132646,PCNA,P12004
ENSG00000198690,FAN1,
ENSG00000133105,RXFP2,Q8WXD0
ENSG00000204219,TCEA3,O75764
ENSG00000166889,PATL1,Q86TB9
ENSG00000204219,TCEA3,
ENSG00000123064,DDX54,Q8TDD1
ENSG00000112782,CLIC5,Q9NZA1
ENSG00000257745,UGT2B10,
ENSG00000100577,GSTZ1,O43708
ENSG00000203546,RP11-176H8.1,
ENSG00000055163,CYFIP2,Q96F07
ENSG00000155158,TTC39B,Q5VTQ0
ENSG00000197457,STMN3,Q9NZ72
ENSG00000164694,FNDC1,Q4ZHG4
ENSG00000269042,AP001925.1,
ENSG00000123064,DDX54,
ENSG00000102048,ASB9,
ENSG00000197457,STMN3,
ENSG00000164694,FNDC1,
ENSG00000136908,DPM2,O94777
ENSG00000066185,ZMYND12,Q9H0C1
ENSG00000115504,EHBP1,Q8NDI1
ENSG00000108753,HNF1B,P35680
ENSG00000115504,EHBP1,
ENSG00000185899,TAS2R60,P59551
ENSG00000129480,DTD2,Q96FN9
ENSG00000221855,TAS2R41,P59536
ENSG00000129480,DTD2,
ENSG00000066185,ZMYND12,
ENSG00000161911,TREML1,Q86YW5
ENSG00000176510,OR10AC1P,
ENSG00000136908,DPM2,
ENSG00000183607,GKN2,Q86XP6
ENSG00000197019,SERTAD1,Q9UHV2
ENSG00000214943,GPR33,
ENSG00000060709,RIMBP2,O15034
ENSG00000108753,HNF1B,
ENSG00000168615,ADAM9,
ENSG00000060709,RIMBP2,
ENSG00000271079,CTAGE15,A4D2H0
ENSG00000115297,TLX2,O43763
ENSG00000183607,GKN2,
ENSG00000104312,RIPK2,O43353
ENSG00000102048,ASB9,Q96DX5
ENSG00000100577,GSTZ1,
ENSG00000132589,FLOT2,
ENSG00000050393,MCUR1,Q96AQ8
ENSG00000162365,CYP4A22,
ENSG00000155561,NUP205,Q92621
ENSG00000050393,MCUR1,
ENSG00000132589,FLOT2,Q14254
ENSG00000124067,SLC12A4,Q9UP95
ENSG00000166323,C11orf65,
ENSG00000124067,SLC12A4,
ENSG00000107798,LIPA,P38571
ENSG00000269496,AC007919.2,
ENSG00000104312,RIPK2,
ENSG00000107798,LIPA,
ENSG00000166323,C11orf65,Q8NCR3
ENSG00000151413,NUBPL,
