gene,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228
CNP,0.012139882,0.0,0.039140392,0.05370415,0.006854995,0.0,0.005521379,0.008501543,0.015015587,0.0,0.0,0.017220723,0.0,0.009181851,0.0,0.026535667,0.0,0.006214966,0.011590147,0.0,0.0,0.004014257,0.252971858,0.078681223,0.017930243,0.0,0.0,0.00431037,0.0,0.0,0.0,0.0,0.006465489,0.033911053,0.012889239,0.019577676,0.015158554,0.0,0.024962153,0.020952897,0.0,0.015712714,0.0,0.0,0.0,0.012223538,0.011035545,0.018008586,0.0,0.033718955,0.010226877,0.0,0.01526434,0.068111442,0.0,0.014397689,0.019574577,0.0,0.0,0.014662376,0.0,0.0,0.0,0.016170826,0.015573732,0.002650367,0.000253931,0.0,0.0,0.0,0.034437772,0.0,0.024188451,0.016627168,0.0,0.0196932,0.004841515,0.0,0.0,0.030191271,0.032095421,0.021453058,0.0,0.0,0.0,0.015623305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010487137,0.028954146,0.0,0.012795846,0.014304738,0.020064559,0.0,0.025653083,0.0,0.030708693,0.0,0.030664874,0.0,0.0,0.0,0.0,0.002660591,0.0,0.017413262,0.012498405,0.0,0.024399582,0.0,0.0,0.018647065,0.004076224,0.009605438,0.0,0.0,0.0,0.016269531,0.003313147,0.0,0.0,0.005510314,0.01113779,0.0,0.0,0.012101375,0.026587898,0.018381273,0.0,0.014354312,0.025298987,0.0,0.0,0.0,0.0,0.0,0.193350881,0.010325138,0.038250946,0.022521101,0.0,0.0,0.013373465,0.019737462,0.0,0.0,0.013276531,0.0,0.0,0.0,0.0,0.0,0.0,0.013823167,0.0,0.0,0.0,0.0,0.023279974,0.0,0.016289892,0.0,0.168420285,0.043667734,0.037350211,0.073816821,0.066854402,0.0,0.02206653,0.026488971,0.020406615,0.024044601,0.019283334,0.007253796,1.0,0.015725549,0.0,0.032252111,0.0,0.0,0.018143144,0.010080812,0.270340264,0.0,0.0,0.071546182,0.0,0.027257139,0.0,0.018049529,0.0,0.057931174,0.025832344,0.005158431,0.0,0.014405435,0.023386866,0.026714044,0.036967345,0.07146208,0.034415197,0.026228933,0.030420991,0.0,0.006946617,0.033547662,0.029351177,0.003282163,0.0,0.03542769,0.044218797,0.019609101,0.023931289,0.000268892,0.0,0.022977885,0.041223582,0.0,0.053358905,0.07504952,0.05031921
HMOX1,0.0,0.0,0.0,0.01868535,0.0,0.0,0.0,0.0,0.033884112,0.0,0.0,0.031299435,0.0,0.0,0.0,0.0,0.0,0.032723732,0.0,0.0,0.0,0.0,0.130111277,0.0,0.232556477,0.0,0.0,0.0,0.0,0.0,0.0,0.008649519,0.0,0.0,0.024387417,0.033252954,0.053366229,0.0,0.016856808,0.0,0.0,0.025106546,0.0,0.023147443,0.0,0.0,0.043202072,0.020617224,0.0,0.021453649,0.0,0.0,0.028473187,0.0,0.03115561,0.024388814,0.015114142,0.070008136,0.0,0.0,0.013430122,0.020917444,0.0,0.0,0.033974875,0.0,0.0,0.039473772,0.0,0.0,0.059235163,0.0,0.028140852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022338945,0.0,0.0,0.049254626,0.0,0.0,0.0,0.013166209,0.0,0.03514922,0.03558768,0.109716639,0.027187133,0.018903883,0.029472988,0.197312161,0.044901449,0.0,0.007925781,0.0,0.0,0.0,0.219760165,0.037983846,0.0,0.0,0.0,0.053149093,0.028871153,0.0,0.058268875,0.0,0.0,0.0,0.03184402,0.0,0.0,0.011035352,0.0,0.024143053,0.0,0.0,0.0,0.026609037,0.0,0.0,0.066103891,0.0,0.0,0.027992139,0.0,0.024592683,0.048541781,0.0,0.0,0.0,0.0,0.027551586,0.0,0.0,0.0,0.017573144,0.0,0.0,0.03319291,0.0,0.0,0.0,0.025515681,0.036204875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.007541501,0.025534533,0.0,0.030538416,0.0,0.015378054,0.035317484,0.049787339,0.030743681,0.0,0.0,0.0,0.024541017,0.02720389,0.0,0.016393214,0.0,0.053515643,0.0,0.0,0.025455639,0.0,0.0,0.039110716,0.033527341,0.0,0.0,0.0,0.036032423,0.008949179,0.050035894,0.0,0.0,0.133628026,0.048371423,0.0,0.0,0.0,0.035048682,0.054472152,0.022922628,0.0,0.023799546,0.036620993,0.044180926,0.0,0.0,0.01160507,0.0,0.0,0.0,0.0,0.0,0.022921231,0.039621785,0.043291438,0.0,0.0,0.0,0.020152235,0.0,0.0,0.032020658,0.031810507
PDGFRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018479386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411356688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05047204,0.032766931,0.0,0.174901411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119282588,0.0,0.0,0.160577312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161814004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115776844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190827847,0.10677588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130649388,0.0,0.0,0.036096316,0.001941067,0.0,0.0,0.0,0.0,0.031532928,0.0,0.088827737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044278909,0.0,0.0,0.0,0.0,0.053143293,0.095118731,0.0,0.0,0.0,0.0,0.0,0.0,0.023343345,0.0,0.13273564,0.0,0.0,0.0,0.093580931,0.0,0.0,0.0,0.0,0.0,0.029162245,0.069212742,0.0,0.072847538,0.067255549,0.0,0.032286234,0.02300675,0.0
DLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094694465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034162946,0.0,0.0,0.0,0.0,0.023973759,0.0,0.04870373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028773742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022516519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097927988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009254769,0.005917775,0.058786571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035896111,0.0,0.0,0.0,0.0,0.0,0.054274011,0.020705746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021159878,0.067501269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048899181,0.072775505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031061638,0.029440567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021329457,0.0,0.076368302,0.031271458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057786334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100902826,0.0,0.0,0.0,0.030641999,0.0,0.0,0.0,0.123017244,0.029538291,0.0,0.065917566,0.0,0.0,0.50887841,0.08736515,0.0,0.0,0.369563907,0.0,0.0,0.105584964,0.0,0.0,0.0,0.102995276,0.0,0.0,0.031892296,0.0
HNRNPA1,0.039188329,0.203113735,0.07426583,0.163141042,0.072867103,0.084509991,0.096745618,0.069260128,0.144305617,0.181054816,0.208754256,0.139344588,0.123944253,0.045646597,0.235325128,0.050784431,0.016559005,0.206038624,0.078222893,0.204858318,0.39096725,1.0,0.039684433,0.308536679,0.060951002,0.211608604,0.18370226,0.222299501,0.380544424,0.124193482,0.395126522,0.122472405,0.196168303,0.276273549,0.312684178,0.156893924,0.08068224,0.142702103,0.200865999,0.130682781,0.172933787,0.363249004,0.605610311,0.15947789,0.287728578,0.168170258,0.199467033,0.061717492,0.143153533,0.258912325,0.108896598,0.25020349,0.246347532,0.257358193,0.16241923,0.120426863,0.155948743,0.252281964,0.183095649,0.174537301,0.124395683,0.18589592,0.022359878,0.175209746,0.203859061,0.311325192,0.486169547,0.122251391,0.047532257,0.247358546,0.126074433,0.0357932,0.145528242,0.185073003,0.169155404,0.060210377,0.121767044,0.243497878,0.120276392,0.096778534,0.326831341,0.124868274,0.139349297,0.121955141,0.050569061,0.482101977,0.116436884,0.079487838,0.189951733,0.050194278,0.0,0.077602178,0.127306461,0.109122314,0.024319364,0.223007202,0.363888532,0.293712378,0.495433271,0.327708334,0.048804723,0.09093111,0.155125827,0.055707835,0.0,0.0,0.188023761,0.236061051,0.087232672,0.0,0.172750384,0.154030159,0.361003608,0.283221334,0.26086852,0.232122794,0.023317048,0.034551769,0.115541078,0.364217699,0.459476441,0.32142359,0.796245337,0.146797881,0.044130545,0.137809262,0.0,0.373641312,0.210270777,0.089174762,0.0,0.184943691,0.311795443,0.25040099,0.097735472,0.152666464,0.217338473,0.195693359,0.177570343,0.190487817,0.049877103,0.169971272,0.144902825,0.128380954,0.224474356,0.235814169,0.261230618,0.164843321,0.256180227,0.20562011,0.51443094,0.198575929,0.155422077,0.268846124,0.154427513,0.0,0.078512087,0.181186482,0.124268718,0.319641352,0.278041661,0.190657094,0.0,0.043744948,0.259330839,0.325996667,0.108522758,0.088074401,0.329274237,0.1912449,0.172790363,0.239830017,0.121038176,0.145339206,0.103890903,0.169364661,0.172997266,0.064002857,0.13187249,0.127372295,0.25988102,0.357084185,0.0,0.126746878,0.421615124,0.198890984,0.118461266,0.213767007,0.152414888,0.0,0.103474036,0.0,0.171776995,0.808448017,0.574452281,0.241156086,0.263666451,0.104659744,0.348549336,0.253198922,0.094328582,0.116721377,0.218537584,0.601378202,0.137280241,0.153134361,0.486442298,0.348166078,0.323325694,0.389744639,0.879524708,0.287571073,0.197247505,0.271319598,0.085694991,0.164257869,0.291149586,0.197306275,0.469638288,0.39700985,0.358382046,0.729001105,0.454625905,0.32774362,0.309947401,0.448926598,0.189939991,0.438421458
SNRPA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029731836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026315711,0.0,0.032389481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335885316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048981238,0.442872494,0.134415448,0.0,0.0,0.322582275,0.0,0.0,0.0,0.0,0.0,0.072147474,0.0,0.0,0.0,0.07324668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030194035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027314181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150214657,0.075385831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038949151,0.036273729,0.0,0.0,0.109766319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017359126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054835755,0.0,0.0,0.0,0.0,0.0,0.0,0.008521052,0.0,0.0,0.0,0.0,0.303204,0.0,0.0,0.0,0.0,0.0,0.0,0.036875181,0.0,0.0,0.0,0.0,0.0,0.0,0.011747557,0.009163983
COX6C,0.22753039,0.0,0.0,0.0,0.0,0.153041825,0.0,0.0,0.436211824,0.0,0.0,0.365437537,0.0,0.276452243,0.365684628,0.0,0.0,0.0,0.268537581,0.080837727,0.0,0.0,0.0,0.0,0.0,0.0,0.226866111,0.0,0.0,0.0,0.0,0.0,0.356271267,0.0,0.195693523,0.355282962,0.0,0.0,0.0,0.0,0.303509563,0.0,0.0,0.0,0.0,0.295975626,0.0,0.448825061,0.0,0.0,0.446621597,0.0,0.0,0.0,0.474950731,0.0,0.0,0.0,0.220944285,0.440732181,0.310755879,0.0,0.0,0.409851193,0.406833589,0.001678119,0.086840555,0.0,0.0,0.0,0.257982016,0.0,0.0,0.0,0.0,0.324523509,0.0,0.0,0.443478405,0.558301806,0.0,0.180751249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436649263,0.0,0.486867279,0.0,0.0,0.0,0.222305253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581320763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369062722,0.0,0.0,0.378079146,0.0,0.671824992,0.0,0.668369889,0.0,0.0,0.0,0.042568661,0.0,0.163516402,0.0,0.351572692,0.0,0.0,0.559622228,0.354456663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336205125,0.0,0.0,0.0,0.433603287,0.562781632,0.433457494,0.440011173,0.362448275,0.0,0.455508381,0.341341168,0.458756864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505224109,0.0,0.40445596,0.0,0.0,0.0,0.0,0.0,0.0,0.441445053,0.46579662,0.0,0.12467216,0.327917814,0.106347732,0.0,0.0,0.605927467,0.492428601,0.0,0.546109796,0.0,0.771787107,0.727742016,0.0,0.0,0.363221914,0.105732054,0.0,0.0,0.320780843,0.0,0.0,0.0,0.395107418,0.0,0.0,0.0,0.0,0.0,1.0,0.849686205
PARP1,0.019456336,0.0,0.029174799,0.415056497,0.026954133,0.028863106,0.058369007,0.032129217,0.050898388,0.031359971,0.069475941,0.042078119,0.040141139,0.026289154,0.026809935,0.015426527,0.026474949,0.0,0.028569717,0.031527463,0.012360633,0.036728613,0.070587106,0.051191222,0.024920925,0.146175146,0.04106845,0.028623514,0.042068969,0.0,0.0,0.0,0.019202324,0.066876754,0.043944664,0.048895132,0.041563161,0.034745876,0.03528551,0.0,0.038345028,0.029339241,0.03564379,0.024995521,0.078534693,0.042478271,0.022291511,0.029959019,0.03820166,0.043141589,0.064824693,0.0,0.053072467,0.026341287,0.022429055,0.065418124,0.061907433,0.025851009,0.0,0.041610859,0.043818492,0.025038781,0.0,0.043985706,0.072508834,0.043228108,0.0,0.075001813,0.0,0.107718363,0.042716477,0.0,0.022018643,0.044535883,0.036991496,0.012636275,0.012604662,0.021671455,0.0,0.0243164,0.052261624,0.040694363,0.0,0.0223381,0.0,0.051791314,0.0,0.02962237,0.040269807,0.676162183,0.0,0.0,0.0,0.0,0.060393341,0.042258646,0.0,0.052610751,0.126902387,0.050975755,0.066638269,0.0,0.183280051,0.031575713,0.0,0.040524375,0.0,0.0,0.037463471,0.0,0.014840302,0.050652139,0.14599213,0.052655119,0.034812983,0.043406691,0.0,0.0,0.036454633,0.05021067,0.130235597,0.020767162,0.02225768,0.053743545,0.040503301,0.042764176,0.0,0.0,0.051807951,0.03699344,0.0,0.0,0.030990044,0.031461462,0.050345719,0.0,0.055407383,0.066266678,0.0,0.085317597,0.158984184,0.0,0.080958344,0.0,0.041329671,0.030855272,0.056139469,0.0,0.030883003,0.019354288,0.046824209,0.0,0.0,0.048813604,0.038470093,1.0,0.010301359,0.0,0.0,0.010849871,0.033977181,0.475836396,0.042555362,0.025936974,0.011258065,0.072331361,0.0,0.052240547,0.0,0.03034392,0.036288526,0.038044706,0.016931189,0.023524137,0.083515108,0.12278717,0.081035994,0.035480734,0.034420315,0.072334133,0.040783379,0.056976933,0.0,0.067664303,0.090140775,0.06258212,0.081030443,0.071593724,0.044551965,0.0,0.0,0.0,0.079398222,0.0,0.040655263,0.08198715,0.035119407,0.017930599,0.042051774,0.033373211,0.01376602,0.053799007,0.039612871,0.03272764,0.11695265,0.059505962,0.099998169,0.156025052,0.055300895,0.08349847,0.0,0.071718514,0.039751247,0.031635057,0.0548805,0.046289008,0.07287211,0.0,0.034178507,0.143623933,0.221208572,0.0,0.020317648,0.069425195,0.0,0.050820742,0.089668527,0.073534869
H2AFV,0.0,0.0,0.0,0.0,0.018086948,0.0,0.0,0.124122523,0.0,0.080235921,0.032981668,0.069488049,0.0,0.004535421,0.024375966,0.052274711,0.0,0.0,0.045562603,0.096579894,0.0,0.0,0.0,0.027425168,0.028009249,0.0,0.0,0.031743634,0.401764065,0.0,0.0,0.027673097,0.023075147,0.03048081,0.048700031,0.021364115,0.0,0.0,0.02401148,0.0,0.035961643,0.0,0.064632513,0.0,0.02342933,0.030357812,0.0,0.0,0.0,0.027293798,0.044244397,0.121817112,0.0,0.021923082,0.0,0.0,0.0,0.034935798,0.017805533,0.015416401,0.029308138,0.092175141,0.0,0.046318624,0.046358228,0.0,0.0,0.036125213,0.036250789,0.008795095,0.018696789,0.0,0.0,0.074234113,0.0,0.0,0.010927281,0.0,0.0,0.0,0.032888617,0.0,0.0,0.0,0.0,0.01303693,0.0,0.0,0.040440459,0.0,0.0,0.0,0.026898401,0.0,0.0,0.022188397,0.030846585,0.050758481,0.075856917,0.062375713,0.0,0.019369094,0.0,1.0,0.0,0.019403869,0.0,0.0,0.050927524,0.0,0.0,0.005836693,0.050088108,0.0,0.015250257,0.0,0.0,0.0,0.0,0.078928657,0.050864413,0.0,0.011507499,0.0,0.018669099,0.022313328,0.0,0.0,0.028105201,0.043910496,0.0,0.0,0.0,0.033265337,0.0,0.007523897,0.029249538,0.0,0.0,0.035935242,0.0,0.0,0.016274815,0.0,0.017464872,0.076384977,0.043951388,0.0,0.0,0.030080903,0.0,0.0,0.0,0.059229918,0.029648155,0.0,0.020793557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079469591,0.042353377,0.0,0.0,0.0,0.037497193,0.02930041,0.024587832,0.017563401,0.0,0.0,0.03025542,0.082876198,0.055701278,0.079546869,0.047173817,0.0,0.009289664,0.0,0.0,0.170217946,0.096856803,0.0,0.036286529,0.044158425,0.0,0.0,0.0,0.021053078,0.0,0.03122524,0.05659157,0.112008147,0.0,0.0,0.038889781,0.0,0.0,0.031542718,0.115139134,0.0,0.0,0.0,0.05055853,0.023990229,0.0,0.0,0.009505395,7.99e-05,0.018727377,0.0,0.0,0.029820418,0.0,0.0,0.056140468,0.062763065,0.0,0.003865241,0.177069798,0.0,0.0,0.034874298,0.031452563
HIST1H2AJ,0.151027262,0.065599501,0.046255108,0.075949289,0.04178635,0.036363654,0.357047647,0.111656524,0.061021712,0.113179021,0.074545346,0.061744899,0.087114245,0.092732407,0.118793219,0.08891467,0.039619572,0.001679342,0.112687379,0.102390721,0.032247372,0.0,0.054833408,0.145159319,0.016647359,0.06173221,0.060966205,0.045895103,1.0,0.0,0.002909628,0.077382177,0.051895473,0.059780721,0.080088571,0.071037658,0.070637211,0.291049123,0.062925622,0.065536067,0.051829655,0.019169386,0.065948017,0.064602345,0.013094874,0.071127266,0.047111511,0.06641943,0.056026824,0.035180949,0.041364096,0.005649245,0.066405952,0.025466723,0.052121468,0.044264764,0.042379092,0.008639202,0.053895723,0.074227758,0.103195585,0.060858361,0.028842377,0.048013907,0.05527747,0.057379622,0.001835874,0.071434535,0.026093166,0.050196148,0.074830018,0.0374857,0.072863065,0.243522733,0.05220671,0.064461596,0.000862905,0.044094991,0.06626559,0.051268235,0.038125627,0.05987905,0.040302314,0.09529765,0.022450678,0.045447078,0.08057069,0.057056092,0.049426969,0.129581511,0.032934081,0.068282105,0.037953947,0.048205011,0.03207054,0.054751735,0.0,0.132761315,0.15610224,0.15947631,0.0,0.026362775,0.025932195,0.270614415,0.053085715,0.052130982,0.090405054,0.038569685,0.016595025,0.0,0.001491092,0.023090998,0.053672742,0.014836623,0.027311558,0.048560258,0.026617317,0.046923578,0.07261011,0.052172218,0.17388846,0.041883092,0.05468354,0.007518741,0.019102382,0.014842968,0.020687521,0.054861955,0.054214895,0.057176623,0.026061447,0.010501877,0.058124214,0.012342351,0.046267796,0.045991052,0.097200766,0.048758499,0.062491871,0.027536362,0.027610902,0.038816694,0.038526867,0.058347039,0.064825177,0.088557445,0.034249611,0.071377844,0.038613297,0.044837683,0.027050275,0.062227812,0.023715856,0.170569897,0.040678974,0.025957569,0.045389984,0.316519171,0.018655149,0.037159398,0.049844071,0.107842363,0.0,0.054777902,0.137182087,0.109071463,0.061763134,0.029048549,0.052193627,0.030231256,0.017500432,0.030946115,0.03058373,0.049490012,0.073279373,0.062262703,0.063631758,0.070278794,0.011181805,0.071287446,0.032035649,0.080768138,0.040832017,0.000531683,0.025180859,0.030306192,0.097597249,0.034678206,0.04798536,0.0,0.046132993,0.025538882,0.035993341,0.0,0.038144656,0.168524057,0.072968133,0.0,0.0040829,0.038985595,0.025496855,0.048647486,0.096916884,0.028826518,0.066329822,0.096947014,0.039204851,0.018534617,0.021755645,0.047819231,0.0,0.022854695,0.095337689,0.05592889,0.0,0.002832077,0.049788561,0.022411427,0.002012547,0.017498212,0.087534517,0.0,0.284189969,0.171850547,0.029943014,0.0,0.067380898,0.041122396
RAB34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022583198,0.0,0.0,0.002597963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021075152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017740814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010646303,0.0,0.0,0.363058209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373166084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015303709,0.012598266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082111262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.402169764,0.073504187,0.0,0.232071504,0.0,0.0,0.0,0.0,0.0,0.018550891,0.0,0.0,0.0,0.0,0.002605919,0.065810613,0.0,0.0,0.253824264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04697052,0.130030617,0.0,0.0,0.0,0.089805193,0.0,0.0,0.0,0.26438421,0.0,0.067428604,0.0,0.0,0.018889027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05547272,0.000540709,0.0,0.0
