"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","group"
"query_1","TRUE","0.0380539431686123","412","17","4","0.235294117647059","0.00970873786407767","GO:0032561","GO:MF","guanyl ribonucleotide binding","20212","4459","c(""GO:0019001"", ""GO:0032555"")","1"
"query_1","TRUE","0.0380539431686123","412","17","4","0.235294117647059","0.00970873786407767","GO:0019001","GO:MF","guanyl nucleotide binding","20212","3580","GO:0017076","1"
"query_1","TRUE","0.0144821928837619","248","13","4","0.307692307692308","0.0161290322580645","KEGG:04144","KEGG","Endocytosis","8484","280","KEGG:00000","1"
"query_1","TRUE","0.0316828985535664","305","13","4","0.307692307692308","0.0131147540983607","KEGG:05016","KEGG","Huntington disease","8484","414","KEGG:00000","1"
"query_1","TRUE","0.00461240967616549","48","14","3","0.214285714285714","0.0625","REAC:R-HSA-437239","REAC","Recycling pathway of L1","10842","1903","REAC:R-HSA-373760","1"
"query_1","TRUE","0.00521596575540287","7","14","2","0.142857142857143","0.285714285714286","REAC:R-HSA-182218","REAC","Nef Mediated CD8 Down-regulation","10842","1513","REAC:R-HSA-164938","1"
"query_1","TRUE","0.00892846412001137","9","14","2","0.142857142857143","0.222222222222222","REAC:R-HSA-167590","REAC","Nef Mediated CD4 Down-regulation","10842","1512","REAC:R-HSA-164938","1"
"query_1","TRUE","0.0192879730283574","13","14","2","0.142857142857143","0.153846153846154","REAC:R-HSA-5140745","REAC","WNT5A-dependent internalization of FZD2, FZD5 and ROR2","10842","2593","REAC:R-HSA-4086400","1"
"query_1","TRUE","0.0224860323490752","14","14","2","0.142857142857143","0.142857142857143","REAC:R-HSA-177504","REAC","Retrograde neurotrophin signalling","10842","2028","REAC:R-HSA-187037","1"
"query_1","TRUE","0.0259262793907931","15","14","2","0.142857142857143","0.133333333333333","REAC:R-HSA-5099900","REAC","WNT5A-dependent internalization of FZD4","10842","2594","REAC:R-HSA-4086400","1"
"query_1","TRUE","0.0296081730451669","16","14","2","0.142857142857143","0.125","REAC:R-HSA-8866427","REAC","VLDLR internalisation and degradation","10842","2561","REAC:R-HSA-8964043","1"
"query_1","TRUE","0.042098334997714","19","14","2","0.142857142857143","0.105263157894737","REAC:R-HSA-8964038","REAC","LDL clearance","10842","1260","REAC:R-HSA-8964043","1"
"query_1","TRUE","0.0167534335178192","31","10","2","0.2","0.0645161290322581","WP:WP4159","WP","GABA receptor signaling","8286","350","WP:000000","1"
"query_1","TRUE","0.0453487318851032","51","10","2","0.2","0.0392156862745098","WP:WP2267","WP","Synaptic vesicle pathway","8286","86","WP:000000","1"
"query_1","TRUE","0.0454544262691672","11","2","1","0.5","0.0909090909090909","CORUM:191","CORUM","20S proteasome","3383","96","CORUM:0000000","2"
"query_1","TRUE","0.0495793050198967","12","2","1","0.5","0.0833333333333333","CORUM:194","CORUM","PA28gamma-20S proteasome","3383","99","CORUM:0000000","2"
"query_1","TRUE","0.0287670581522482","1","5","1","0.2","1","GO:0017003","GO:BP","protein-heme linkage","21031","5328","GO:0017006","2"
"query_1","TRUE","0.0287670581522482","1","5","1","0.2","1","GO:0017006","GO:BP","protein-tetrapyrrole linkage","21031","5330","GO:0036211","2"
"query_1","TRUE","0.0287670581522482","1","5","1","0.2","1","GO:0018063","GO:BP","cytochrome c-heme linkage","21031","5398","c(""GO:0017003"", ""GO:0017004"")","2"
"query_1","TRUE","0.00742133386107291","1","5","1","0.2","1","GO:0004408","GO:MF","holocytochrome-c synthase activity","20212","758","c(""GO:0016846"", ""GO:0140096"")","2"
"query_1","TRUE","0.0258496348210074","58","5","2","0.4","0.0344827586206897","MIRNA:hsa-miR-500b-5p","MIRNA","hsa-miR-500b-5p","14819","1531","MIRNA:000000","2"
"query_1","TRUE","0.0305203916540661","63","5","2","0.4","0.0317460317460317","MIRNA:hsa-miR-362-5p","MIRNA","hsa-miR-362-5p","14819","741","MIRNA:000000","2"
"query_1","TRUE","0.0337160766031273","787","5","4","0.8","0.00508259212198221","TF:M08187","TF","Factor: ABL1; motif: AARAAAAACAAM","20045","2","TF:M00000","2"
"query_1","TRUE","0.0299300024137095","62","1","1","1","0.0161290322580645","WP:WP183","WP","Proteasome degradation","8286","48","WP:000000","2"
"query_1","TRUE","1.15199958157365e-14","93","17","12","0.705882352941177","0.129032258064516","CORUM:3055","CORUM","Nop56p-associated pre-rRNA complex","3383","1362","CORUM:0000000","3"
"query_1","TRUE","1.85237412222298e-12","43","17","9","0.529411764705882","0.209302325581395","CORUM:308","CORUM","60S ribosomal subunit, cytoplasmic","3383","184","CORUM:0000000","3"
"query_1","TRUE","5.32822270301438e-12","74","17","10","0.588235294117647","0.135135135135135","CORUM:306","CORUM","Ribosome, cytoplasmic","3383","183","CORUM:0000000","3"
"query_1","TRUE","7.50152731808008e-07","21","17","5","0.294117647058824","0.238095238095238","CORUM:5380","CORUM","TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","3383","1658","CORUM:0000000","3"
"query_1","TRUE","0.0412834349109352","13","17","2","0.117647058823529","0.153846153846154","CORUM:5266","CORUM","TNF-alpha/NF-kappa B signaling complex 6","3383","1618","CORUM:0000000","3"
"query_1","TRUE","4.52534359814313e-17","156","25","12","0.48","0.0769230769230769","GO:0002181","GO:BP","cytoplasmic translation","21031","736","GO:0006412","3"
"query_1","TRUE","4.68198751122794e-12","723","25","14","0.56","0.0193637621023513","GO:0006412","GO:BP","translation","21031","2194","c(""GO:0009059"", ""GO:0010467"", ""GO:0019538"", ""GO:0043043"")","3"
"query_1","TRUE","8.04136531621352e-12","752","25","14","0.56","0.0186170212765957","GO:0043043","GO:BP","peptide biosynthetic process","21031","10843","c(""GO:0006518"", ""GO:0043604"", ""GO:1901566"")","3"
"query_1","TRUE","7.72042607227745e-11","887","25","14","0.56","0.0157835400225479","GO:0043604","GO:BP","amide biosynthetic process","21031","11153","c(""GO:0043603"", ""GO:0044271"")","3"
"query_1","TRUE","1.11138038526401e-10","911","25","14","0.56","0.0153677277716795","GO:0006518","GO:BP","peptide metabolic process","21031","2266","c(""GO:0043603"", ""GO:1901564"")","3"
"query_1","TRUE","4.34738545552725e-09","1194","25","14","0.56","0.0117252931323283","GO:0043603","GO:BP","amide metabolic process","21031","11152","GO:0006807","3"
"query_1","TRUE","7.64326553103237e-07","1761","25","14","0.56","0.00795002839295855","GO:1901566","GO:BP","organonitrogen compound biosynthetic process","21031","22100","c(""GO:1901564"", ""GO:1901576"")","3"
"query_1","TRUE","1.34888757274214e-06","4836","25","20","0.8","0.00413564929693962","GO:0044271","GO:BP","cellular nitrogen compound biosynthetic process","21031","11312","c(""GO:0034641"", ""GO:0044249"")","3"
"query_1","TRUE","4.79022906224269e-06","8692","25","24","0.96","0.00276115968706857","GO:0034641","GO:BP","cellular nitrogen compound metabolic process","21031","9002","c(""GO:0006807"", ""GO:0044237"")","3"
"query_1","TRUE","3.67352814886533e-05","322","25","7","0.28","0.0217391304347826","GO:0042254","GO:BP","ribosome biogenesis","21031","10405","GO:0022613","3"
"query_1","TRUE","0.000298264597672112","9214","25","23","0.92","0.00249620143260256","GO:0010467","GO:BP","gene expression","21031","4207","GO:0009059","3"
"query_1","TRUE","0.00088361433556461","9691","25","23","0.92","0.00237333608502735","GO:0009059","GO:BP","macromolecule biosynthetic process","21031","3272","c(""GO:0043170"", ""GO:0044249"", ""GO:1901576"")","3"
"query_1","TRUE","0.0030671287562074","224","25","5","0.2","0.0223214285714286","GO:0006364","GO:BP","rRNA processing","21031","2163","c(""GO:0016072"", ""GO:0034470"", ""GO:0042254"")","3"
"query_1","TRUE","0.00556703200675176","10565","25","23","0.92","0.00217699952673923","GO:0044249","GO:BP","cellular biosynthetic process","21031","11305","c(""GO:0009058"", ""GO:0044237"")","3"
"query_1","TRUE","0.00654345922473842","10646","25","23","0.92","0.00216043584444862","GO:1901576","GO:BP","organic substance biosynthetic process","21031","22106","c(""GO:0009058"", ""GO:0071704"")","3"
"query_1","TRUE","0.00667874457645844","263","25","5","0.2","0.0190114068441065","GO:0016072","GO:BP","rRNA metabolic process","21031","5160","GO:0034660","3"
"query_1","TRUE","0.007339708618522","10704","25","23","0.92","0.00214872944693572","GO:0009058","GO:BP","biosynthetic process","21031","3271","GO:0008152","3"
"query_1","TRUE","0.00824857173699429","11995","25","24","0.96","0.00200083368070029","GO:0006807","GO:BP","nitrogen compound metabolic process","21031","2516","GO:0008152","3"
"query_1","TRUE","0.0114750286376963","12170","25","24","0.96","0.00197206244864421","GO:0043170","GO:BP","macromolecule metabolic process","21031","10919","GO:0071704","3"
"query_1","TRUE","0.0212738820457869","12505","25","24","0.96","0.00191923230707717","GO:0044238","GO:BP","primary metabolic process","21031","11300","GO:0008152","3"
"query_1","TRUE","0.0416084782099631","12881","25","24","0.96","0.00186320937815387","GO:0044237","GO:BP","cellular metabolic process","21031","11299","c(""GO:0008152"", ""GO:0009987"")","3"
"query_1","TRUE","0.0487938816113469","4912","25","15","0.6","0.00305374592833876","GO:0019538","GO:BP","protein metabolic process","21031","6075","c(""GO:0043170"", ""GO:0044238"", ""GO:1901564"")","3"
"query_1","TRUE","2.62268878187072e-18","57","25","10","0.4","0.175438596491228","GO:0022625","GO:CC","cytosolic large ribosomal subunit","22097","856","c(""GO:0015934"", ""GO:0022626"")","3"
"query_1","TRUE","3.46363107980752e-17","117","25","11","0.44","0.094017094017094","GO:0022626","GO:CC","cytosolic ribosome","22097","857","c(""GO:0005829"", ""GO:0005840"")","3"
"query_1","TRUE","9.00111696499851e-17","192","25","12","0.48","0.0625","GO:0044391","GO:CC","ribosomal subunit","22097","2076","c(""GO:0005840"", ""GO:1990904"")","3"
"query_1","TRUE","5.2196572608978e-15","117","25","10","0.4","0.0854700854700855","GO:0015934","GO:CC","large ribosomal subunit","22097","709","GO:0044391","3"
"query_1","TRUE","1.46246101987782e-11","520","25","12","0.48","0.0230769230769231","GO:0005840","GO:CC","ribosome","22097","389","GO:0043232","3"
"query_1","TRUE","3.31840884143027e-07","6591","25","22","0.88","0.00333788499468973","GO:0043232","GO:CC","intracellular non-membrane-bounded organelle","22097","1884","c(""GO:0043228"", ""GO:0043229"")","3"
"query_1","TRUE","3.32891698469002e-07","6592","25","22","0.88","0.0033373786407767","GO:0043228","GO:CC","non-membrane-bounded organelle","22097","1880","GO:0043226","3"
"query_1","TRUE","7.09684667596937e-06","2001","25","13","0.52","0.00649675162418791","GO:0005730","GO:CC","nucleolus","22097","305","c(""GO:0031981"", ""GO:0043232"")","3"
"query_1","TRUE","4.26903250580666e-05","2793","25","14","0.56","0.0050125313283208","GO:1990904","GO:CC","ribonucleoprotein complex","22097","4043","GO:0032991","3"
"query_1","TRUE","4.5967709614088e-05","422","25","7","0.28","0.0165876777251185","GO:0005925","GO:CC","focal adhesion","22097","451","GO:0030055","3"
"query_1","TRUE","5.38297497659043e-05","432","25","7","0.28","0.0162037037037037","GO:0030055","GO:CC","cell-substrate junction","22097","869","GO:0070161","3"
"query_1","TRUE","0.000650964586846965","905","25","8","0.32","0.00883977900552486","GO:0070161","GO:CC","anchoring junction","22097","2440","GO:0030054","3"
"query_1","TRUE","0.000961287796976748","5487","25","17","0.68","0.00309823218516494","GO:0005829","GO:CC","cytosol","22097","380","c(""GO:0005737"", ""GO:0110165"")","3"
"query_1","TRUE","0.00105192807105791","5521","25","17","0.68","0.00307915232747691","GO:0031981","GO:CC","nuclear lumen","22097","1227","c(""GO:0005634"", ""GO:0070013"")","3"
"query_1","TRUE","0.00278661221431259","6657","25","18","0.72","0.00270392068499324","GO:0070013","GO:CC","intracellular organelle lumen","22097","2399","c(""GO:0043229"", ""GO:0043233"")","3"
"query_1","TRUE","0.00278661221431259","6657","25","18","0.72","0.00270392068499324","GO:0043233","GO:CC","organelle lumen","22097","1885","c(""GO:0031974"", ""GO:0043226"")","3"
"query_1","TRUE","0.00278661221431259","6657","25","18","0.72","0.00270392068499324","GO:0031974","GO:CC","membrane-enclosed lumen","22097","1221","GO:0110165","3"
"query_1","TRUE","0.00474746694111776","8588","25","20","0.8","0.00232883092687471","GO:0032991","GO:CC","protein-containing complex","22097","1340","GO:0005575","3"
"query_1","TRUE","0.0123093040153658","2230","25","10","0.4","0.00448430493273543","GO:0030054","GO:CC","cell junction","22097","868","GO:0110165","3"
"query_1","TRUE","0.0466646009963461","16018","25","25","1","0.00156074416281683","GO:0043229","GO:CC","intracellular organelle","22097","1881","c(""GO:0005622"", ""GO:0043226"")","3"
"query_1","TRUE","1.84922134345898e-13","3123","25","22","0.88","0.00704450848543068","GO:0003723","GO:MF","RNA binding","20212","346","GO:0003676","3"
"query_1","TRUE","4.92736815001467e-12","450","25","12","0.48","0.0266666666666667","GO:0003735","GO:MF","structural constituent of ribosome","20212","353","GO:0005198","3"
"query_1","TRUE","4.49245124473362e-10","1100","25","14","0.56","0.0127272727272727","GO:0005198","GO:MF","structural molecule activity","20212","1347","GO:0003674","3"
"query_1","TRUE","1.46836231733036e-09","5491","25","23","0.92","0.00418867237297396","GO:0003676","GO:MF","nucleic acid binding","20212","323","GO:0097159","3"
"query_1","TRUE","1.67970642654742e-06","7546","25","23","0.92","0.00304797243572754","GO:0097159","GO:MF","organic cyclic compound binding","20212","9069","GO:0005488","3"
"query_1","TRUE","0.00256110552520479","4704","18","17","0.944444444444444","0.00361394557823129","HPA:0210052","HPA","fallopian tube; glandular cells[≥Medium]","11019","355","HPA:0210051","3"
"query_1","TRUE","0.00290409914647036","1960","18","12","0.666666666666667","0.00612244897959184","HPA:0350473","HPA","pancreas; exocrine glandular cells[High]","11019","502","HPA:0350472","3"
"query_1","TRUE","0.00410803123110804","5776","18","18","1","0.00311634349030471","HPA:0210051","HPA","fallopian tube; glandular cells[≥Low]","11019","354","HPA:0210000","3"
"query_1","TRUE","0.00454289467513729","4872","18","17","0.944444444444444","0.00348932676518883","HPA:0420052","HPA","salivary gland; glandular cells[≥Medium]","11019","601","HPA:0420051","3"
"query_1","TRUE","0.00638030569703374","4230","18","16","0.888888888888889","0.00378250591016548","HPA:0250132","HPA","hippocampus; neuronal cells[≥Medium]","11019","386","HPA:0250131","3"
"query_1","TRUE","0.0067636693867221","5938","18","18","1","0.00303132367800606","HPA:0060101","HPA","bronchus; respiratory epithelial cells[≥Low]","11019","83","HPA:0060000","3"
"query_1","TRUE","0.0104892440584458","3730","18","15","0.833333333333333","0.00402144772117962","HPA:0630222","HPA","cervix; squamous epithelial cells[≥Medium]","11019","206","HPA:0630221","3"
"query_1","TRUE","0.0180728696003913","5304","18","17","0.944444444444444","0.00320512820512821","HPA:0350472","HPA","pancreas; exocrine glandular cells[≥Medium]","11019","501","HPA:0350471","3"
"query_1","TRUE","0.0320021573763555","4050","18","15","0.833333333333333","0.0037037037037037","HPA:0620222","HPA","vagina; squamous epithelial cells[≥Medium]","11019","858","HPA:0620221","3"
"query_1","TRUE","0.0358297129627144","1652","18","10","0.555555555555556","0.00605326876513317","HPA:0190223","HPA","esophagus; squamous epithelial cells[High]","11019","327","HPA:0190222","3"
"query_1","TRUE","0.0375070185547437","6530","18","18","1","0.00275650842266462","HPA:0310000","HPA","lymph node","11019","459","HPA:0000000","3"
"query_1","TRUE","4.10519159987466e-16","153","15","11","0.733333333333333","0.0718954248366013","KEGG:03010","KEGG","Ribosome","8484","208","KEGG:00000","3"
"query_1","TRUE","4.18140605302082e-14","231","15","11","0.733333333333333","0.0476190476190476","KEGG:05171","KEGG","Coronavirus disease - COVID-19","8484","452","KEGG:00000","3"
"query_1","TRUE","0.0012286651933574","748","25","9","0.36","0.0120320855614973","MIRNA:hsa-miR-186-5p","MIRNA","hsa-miR-186-5p","14819","327","MIRNA:000000","3"
"query_1","TRUE","0.00402465835665705","162","25","5","0.2","0.0308641975308642","MIRNA:hsa-miR-652-3p","MIRNA","hsa-miR-652-3p","14819","2022","MIRNA:000000","3"
"query_1","TRUE","0.0414165737977736","434","25","6","0.24","0.0138248847926267","MIRNA:hsa-miR-744-5p","MIRNA","hsa-miR-744-5p","14819","2463","MIRNA:000000","3"
"query_1","TRUE","4.02920932240137e-17","90","19","11","0.578947368421053","0.122222222222222","REAC:R-HSA-192823","REAC","Viral mRNA Translation","10842","2572","REAC:R-HSA-168273","3"
"query_1","TRUE","4.02920932240137e-17","90","19","11","0.578947368421053","0.122222222222222","REAC:R-HSA-156902","REAC","Peptide chain elongation","10842","1673","REAC:R-HSA-156842","3"
"query_1","TRUE","6.66820038560322e-17","94","19","11","0.578947368421053","0.117021276595745","REAC:R-HSA-156842","REAC","Eukaryotic Translation Elongation","10842","840","REAC:R-HSA-72766","3"
"query_1","TRUE","6.66820038560322e-17","94","19","11","0.578947368421053","0.117021276595745","REAC:R-HSA-72764","REAC","Eukaryotic Translation Termination","10842","842","REAC:R-HSA-72766","3"
"query_1","TRUE","6.66820038560322e-17","94","19","11","0.578947368421053","0.117021276595745","REAC:R-HSA-2408557","REAC","Selenocysteine synthesis","10842","2120","REAC:R-HSA-2408522","3"
"query_1","TRUE","8.50575747552277e-17","96","19","11","0.578947368421053","0.114583333333333","REAC:R-HSA-975956","REAC","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","10842","1559","REAC:R-HSA-927802","3"
"query_1","TRUE","1.71125947407935e-16","102","19","11","0.578947368421053","0.107843137254902","REAC:R-HSA-72689","REAC","Formation of a pool of free 40S subunits","10842","922","REAC:R-HSA-72737","3"
"query_1","TRUE","1.71125947407935e-16","102","19","11","0.578947368421053","0.107843137254902","REAC:R-HSA-9633012","REAC","Response of EIF2AK4 (GCN2) to amino acid deficiency","10842","2021","REAC:R-HSA-9711097","3"
"query_1","TRUE","5.00653456299475e-16","112","19","11","0.578947368421053","0.0982142857142857","REAC:R-HSA-156827","REAC","L13a-mediated translational silencing of Ceruloplasmin expression","10842","1258","REAC:R-HSA-72613","3"
"query_1","TRUE","5.54266886786438e-16","113","19","11","0.578947368421053","0.0973451327433628","REAC:R-HSA-1799339","REAC","SRP-dependent cotranslational protein targeting to membrane","10842","2089","REAC:R-HSA-72766","3"
"query_1","TRUE","5.54266886786438e-16","113","19","11","0.578947368421053","0.0973451327433628","REAC:R-HSA-72706","REAC","GTP hydrolysis and joining of the 60S ribosomal subunit","10842","995","REAC:R-HSA-72737","3"
"query_1","TRUE","7.47876585702047e-16","116","19","11","0.578947368421053","0.0948275862068965","REAC:R-HSA-927802","REAC","Nonsense-Mediated Decay (NMD)","10842","1560","REAC:R-HSA-8953854","3"
"query_1","TRUE","7.47876585702047e-16","116","19","11","0.578947368421053","0.0948275862068965","REAC:R-HSA-975957","REAC","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","10842","1558","REAC:R-HSA-927802","3"
"query_1","TRUE","8.24922748563891e-16","117","19","11","0.578947368421053","0.094017094017094","REAC:R-HSA-2408522","REAC","Selenoamino acid metabolism","10842","2119","REAC:R-HSA-71291","3"
"query_1","TRUE","1.10128407791004e-15","120","19","11","0.578947368421053","0.0916666666666667","REAC:R-HSA-72737","REAC","Cap-dependent Translation Initiation","10842","297","REAC:R-HSA-72613","3"
"query_1","TRUE","1.10128407791004e-15","120","19","11","0.578947368421053","0.0916666666666667","REAC:R-HSA-72613","REAC","Eukaryotic Translation Initiation","10842","841","REAC:R-HSA-72766","3"
"query_1","TRUE","1.29730107788891e-15","182","19","12","0.631578947368421","0.0659340659340659","REAC:R-HSA-6791226","REAC","Major pathway of rRNA processing in the nucleolus and cytosol","10842","1348","REAC:R-HSA-8868773","3"
"query_1","TRUE","2.49876133854524e-15","192","19","12","0.631578947368421","0.0625","REAC:R-HSA-8868773","REAC","rRNA processing in the nucleus and cytosol","10842","2656","REAC:R-HSA-72312","3"
"query_1","TRUE","3.54831224128648e-15","133","19","11","0.578947368421053","0.0827067669172932","REAC:R-HSA-168273","REAC","Influenza Viral RNA Transcription and Replication","10842","1152","REAC:R-HSA-168255","3"
"query_1","TRUE","4.64928533790944e-15","202","19","12","0.631578947368421","0.0594059405940594","REAC:R-HSA-72312","REAC","rRNA processing","10842","2654","REAC:R-HSA-8953854","3"
"query_1","TRUE","1.60659859872331e-14","152","19","11","0.578947368421053","0.0723684210526316","REAC:R-HSA-168255","REAC","Influenza Infection","10842","1151","REAC:R-HSA-9824446","3"
"query_1","TRUE","2.31355540206402e-14","157","19","11","0.578947368421053","0.0700636942675159","REAC:R-HSA-9711097","REAC","Cellular response to starvation","10842","330","REAC:R-HSA-2262752","3"
"query_1","TRUE","6.04209234839285e-14","171","19","11","0.578947368421053","0.064327485380117","REAC:R-HSA-9010553","REAC","Regulation of expression of SLITs and ROBOs","10842","1965","REAC:R-HSA-376176","3"
"query_1","TRUE","4.06604040944792e-13","292","19","12","0.631578947368421","0.0410958904109589","REAC:R-HSA-72766","REAC","Translation","10842","2488","REAC:R-HSA-392499","3"
"query_1","TRUE","8.63567094103662e-13","217","19","11","0.578947368421053","0.0506912442396313","REAC:R-HSA-376176","REAC","Signaling by ROBO receptors","10842","2231","REAC:R-HSA-422475","3"
"query_1","TRUE","1.38753663390097e-11","701","19","14","0.736842105263158","0.0199714693295292","REAC:R-HSA-8953854","REAC","Metabolism of RNA","10842","1374","REAC:0000000","3"
"query_1","TRUE","3.06285751846685e-10","370","19","11","0.578947368421053","0.0297297297297297","REAC:R-HSA-71291","REAC","Metabolism of amino acids and derivatives","10842","1376","REAC:R-HSA-1430728","3"
"query_1","TRUE","1.8638840614017e-09","780","19","13","0.684210526315789","0.0166666666666667","REAC:R-HSA-2262752","REAC","Cellular responses to stress","10842","332","REAC:R-HSA-8953897","3"
"query_1","TRUE","2.33498932143696e-09","794","19","13","0.684210526315789","0.0163727959697733","REAC:R-HSA-8953897","REAC","Cellular responses to stimuli","10842","331","REAC:0000000","3"
"query_1","TRUE","2.95910468571053e-09","809","19","13","0.684210526315789","0.0160692212608158","REAC:R-HSA-9824446","REAC","Viral Infection Pathways","10842","2569","REAC:R-HSA-5663205","3"
"query_1","TRUE","2.17758163265258e-08","549","19","11","0.578947368421053","0.0200364298724954","REAC:R-HSA-422475","REAC","Axon guidance","10842","189","REAC:R-HSA-9675108","3"
"query_1","TRUE","3.50699655215568e-08","574","19","11","0.578947368421053","0.0191637630662021","REAC:R-HSA-9675108","REAC","Nervous system development","10842","1536","REAC:R-HSA-1266738","3"
"query_1","TRUE","4.21065882190908e-08","999","19","13","0.684210526315789","0.013013013013013","REAC:R-HSA-5663205","REAC","Infectious disease","10842","1149","REAC:R-HSA-1643685","3"
"query_1","TRUE","4.62502058113077e-05","1767","19","13","0.684210526315789","0.00735710243350311","REAC:R-HSA-1643685","REAC","Disease","10842","721","REAC:0000000","3"
"query_1","TRUE","4.79314858929967e-05","1144","19","11","0.578947368421053","0.00961538461538462","REAC:R-HSA-1266738","REAC","Developmental Biology","10842","714","REAC:0000000","3"
"query_1","TRUE","0.00127897305502589","1946","19","12","0.631578947368421","0.00616649537512847","REAC:R-HSA-392499","REAC","Metabolism of proteins","10842","1390","REAC:0000000","3"
"query_1","TRUE","0.0165468596327687","2074","19","11","0.578947368421053","0.00530376084860174","REAC:R-HSA-1430728","REAC","Metabolism","10842","1372","REAC:0000000","3"
"query_1","TRUE","3.96395752379518e-17","88","18","11","0.611111111111111","0.125","WP:WP477","WP","Cytoplasmic ribosomal proteins","8286","517","WP:000000","3"
"query_1","TRUE","0.00094709467607981","43","2","2","1","0.0465116279069767","CORUM:308","CORUM","60S ribosomal subunit, cytoplasmic","3383","184","CORUM:0000000","4"
"query_1","TRUE","0.00283289337773153","74","2","2","1","0.027027027027027","CORUM:306","CORUM","Ribosome, cytoplasmic","3383","183","CORUM:0000000","4"
"query_1","TRUE","0.00448690035910236","93","2","2","1","0.021505376344086","CORUM:3055","CORUM","Nop56p-associated pre-rRNA complex","3383","1362","CORUM:0000000","4"
"query_1","TRUE","0.0212671525435988","6","2","1","0.5","0.166666666666667","CORUM:5378","CORUM","TRBP containing complex (DICER, TRBP, AGO2, RPL7A, EIF6, MOV10)","3383","1657","CORUM:0000000","4"
"query_1","TRUE","0.0159948049616824","156","3","2","0.666666666666667","0.0128205128205128","GO:0002181","GO:BP","cytoplasmic translation","21031","736","GO:0006412","4"
